Name,תיאור המערכת,תחום
מכוני רישוי,,אגף הרישוי – נהיגה
מערכת מובילים ומטענים,"מערכת לניהול תהליכי מתן רישיון והיתרים למובילי החומ""ס והשפעה על משק האנרגיה",אגף הרישוי – נהיגה
יצרני רכב,,אגף הרישוי – נהיגה
ייבוא אישי חדש,יחליף את רכבית ואת ייעודית,אגף הרישוי – נהיגה
בוחני רכב,האם מדובר על בוחני נהיגה לרכב,אגף הרישוי – נהיגה
מטודיקה לאופנועים,,אגף הרישוי – נהיגה
לוטם- טכוגרף דיגיטלי,מערכת לייצור כרטיסים חכמים וניהול נתוני נסיעות עבור טכוגרף דיגיטלי.,אגף הרישוי – נהיגה
דגמים,"מערכת לניהול רישום דגמי רכב לאופנועים, לרכבים פרטיים ולרכבים מסחריים עד 3.5 טון. פרטי ונתוני הדגם שמזינים היבואנים משמשים את המערכת לעדכון פרטי הרכב במערכת (ומודפסים בהמשך ברישיון הרכב)., וכן גורמים חיצוניים רבים",אגף הרישוי – נהיגה
מוביליטי,"מערכת שנועדה לבצע רישום כלים של תחבורה קלה – אופניים חשמליים וקורקינט חשמלי – לצורכי אכיפה.  האוכלוסיה אותה משרתת המערכת כוללת : אזרחים, זרים וחברות (עם ח.פ).",אגף הרישוי – נהיגה
הדפסת רישיונות,,אגף הרישוי – נהיגה
בחינות רישוי מקצועות,,אגף הרישוי – נהיגה
מערכת הסמכות,"ניהול כל נתוני העוסקים במקצועות התחבורה במערכת אחת
מערכת לניהול ומעקב אחר הסמכות ורישוי למקצועות התחבורה: מורה נהיגה, בוחני נהיגה וקציני בטיחות בעולם הרכב, שמאים וסוחרי הרכב. המערכת מנהלת את התהליך משלב בקשת הסמכה ועד לקבלתו או מתן הודעת אי התאמה. בסוף התהליך מתעדכן גם רישיון הרכב בהתאמה",אגף הרישוי – נהיגה
מערכת רכב תפעולית,,אגף הרישוי  - רכב
הנחה למשרתי מילואים,,אגף הרישוי  - רכב
תוכניות הדפסה,,אגף הרישוי  - רכב
יבואנים ייעודית,"מערכת ממשלתית לרישום רכבים ליבואנים זעירים ויבוא אישי, 
במקום מערכת הפועלת ללא בנפרד מיתר מערכות היבוא. 
שיפור המערכת יגדיל את האפשרות לצירוף עוד יבואנים זעירים ולהגדלת התחרות.",אגף הרישוי  - רכב
יבואנים רכבית,"מערכת שנועדה לבצע תהליך רישום יבוא הרכב - 
מאישור דגם והוראת רישום, דרך קליטת COC דיגיטלי, בדיקות PDI, 
ועד רישום ראשוני והפקת רישיון,
במערכת ממשלתית אחת, 
שמחליפה מספר מערכות בבעלות חברות פרטיות ותהליכים המנוהלים כיום בנייר ובמייל.",אגף הרישוי  - רכב
מערכת השכרה החכר,,אגף הרישוי  - רכב
מכס,,אגף הרישוי  - רכב
שעבודים,,אגף הרישוי  - רכב
סוחרים,"ניהול רישונות סחר ושלטים ""במבחן""",אגף הרישוי  - רכב
מע' נכים תפעולית,,אגף הרישוי  - רכב
חניתי,יישומון חנייה לנכים,אגף הרישוי  - רכב
זכויות למוניות,,אגף הרישוי  - רכב
מחירון העם,,אגף הרישוי  - רכב
דיווחי שמאים,,אגף הרישוי  - רכב
חלקי חילוף,מערכת מידע תפעולית לחלקי חילוף של רכבים במשרד התחבורה המתבססת בין היתר על ארכיון של חומרים סרוקים של חלקי חילוף.,אגף הרישוי  - רכב
רכב,"מערכת לניהול רישוי רכב מכל סוג שהוא  למעט רכב צמה, כולל טיפול בדגמים, טיפול בתהליכי רישוי הרכב, טיפול בעדכונים על הרכב לסוגיהם (החלפת מנוע, צבע, אובדן, וכו') ובנושאים רבים נוספים.  מדובר במערכת הליבה המרכזית והגדולה ביותר של משרד התחבורה. מנהלת עשרות תהליכים",אגף הרישוי  - רכב
שקד,מערכת שנועדה לבצע תהליך טיפול בבקשות וביצוע הסמכות למקצועות דיגיטק בתעבורה.  המערכת כוללת מודול בחינות ושיבץ תלמידים ובוחנים לביצוע בחינות עיוניות ומעשיות.,אגף הרכב
שמאים,מערכת ניהול הסמכת שמאי רכב,אגף הרכב
ייבוא אישי,מעבירה בקשות של ייבוא רכב אישי ומתממשקת עם המכס.,אגף הרכב
בתי מסחר,במערכת מאשרים רק את רישוי בתי המסחר המייבאים או מייצרים חלקי רכב וכדו',אגף הרכב
ריקול,,אגף הרכב
מערכת היסעים,,אגף הרכב
"צמ""ה",,אגף הרכב
מערכות בטיחות,,אגף הרכב
מע' כיבוי אש,,אגף הרכב
רישוי מוסכים,"רישוי ורישום מוסכים מורשים שיוך מנהלים מקצועיים, ניהול תלונות, וכדו'",אגף הרכב
קציני בטיחות,,אגף הרכב
ניידות בטיחות,יש ניידות בטיחות בכבישים שמסתובבות ובודקות שהרכבים שעל הכביש תקינים. המערכת הזו צריכה לעבור עדכון,אגף הרכב
אישור ביטוח ממוכן,,אגף הרכב
ערבה- אגם הרכב,,אגף הרכב
מתווכים,מערכת לרישוי מתווכים (עבור גורמים מקצועיים המאושרים עבור מי שרוצה לבצע ייבוא אישי),אגף הרכב
החכרת רכב,,אגף הרכב
היסעים,,אגף הרכב
השכרת רכב,,אגף הרכב
יבוא אישי מסחרי,,אגף הרכב
מובילים,,אגף הרכב
"מכוני רישוי צמ""ה",,אגף הרכב
ניהול מכוני רישוי,,אגף הרכב
נכים,,אגף הרכב
"פטור מתמרור נת""צ",,אגף הרכב
"רישיון צמ""ה",,אגף הרכב
רכב אשכול,,אגף הרכב
הקמה ניהול ותפעול של מאגר נתוני רכב,החלפה של CAR DATA בעקבות החלטת בית משפט,אגף הרכב
העברת בעלות,,מערכת רכב
מערכת חייבים,מערכת לניהול חייבי אגרת רישוי,מערכת רכב
סמלי יבואן,,מערכת רכב
"תשלום אגרות ע""י יבואנים",,מערכת רכב
"תשלום אגרות ע""י צי רכב",,מערכת רכב
מערכת מוניות,,מערכת רכב
גורמי חוץ MENUGO,,מערכת רכב
תוצרים,,מערכת רכב
התקנת אבטחת מטענים,,מערכת רכב
מערכת תיעוד - BUSINESS,,מערכת רכב
מערכת להצגת קבצי שדרים,,מערכת רכב
יבואנים - הגדלת קוד גורם,,מערכת רכב
עדכון משקלים,,מערכת רכב
קוד או דגם לאופנועים,,מערכת רכב
מוסכים,,מערכת רכב
קליטת תשלומים,,מערכת רכב
החזרים אזור אישי,,מערכת רכב
הפקדות רשיון רכב ושחרור מהפקדה,,מערכת רכב
פירוק והורדה מהכביש,,מערכת רכב
יבואנים - הגדרות יבואן,מערכת שנועדה לבצע רישום של רכבים משלב התרת המכס עד הרישום במערכת הרכב. ניהול הרשומה בפרה רכב.,מערכת רכב
יבואנים/יצרנים,מערכת שנועדה לבצע רישום של רכבים משלב התרת המכס עד הרישום במערכת הרכב. ניהול הרשומה בפרה רכב.,מערכת רכב
מערכת קיזוז,,מערכת רכב
תעופות,,מערכת רכב
רישום אוטובוסים כרכבי אספנות,,מערכת רכב
עיקולים,,מערכת רכב
"מסכי בקרת מנות תשלומי רכב (ציי רכב, יבואנים וממשלתיים)",,מערכת רכב
